Model,Input Token Price (/1M),Output Token Price (/1M),Price Per Request,Audio Input Token Price (/1M),Audio Output Token Price (/1M),,,,
gpt-4-32k,60,120,0.18,N/A,N/A,,,,
gpt-4,30,60,0.09,N/A,N/A,,,,
o1-preview,15,60,0.075,N/A,N/A,,,,
gpt-4o-audio-preview,2.5,10,0.0125,100,200,,,,
gpt-4o-2024-05-13,5,15,0.02,N/A,N/A,,,,
gpt-4o-realtime-preview,5,20,0.025,N/A,N/A,,,,
o1-mini,3,12,0.015,N/A,N/A,,,,
gpt-3.5-turbo-16k-0613,3,4,0.007,N/A,N/A,,,,
gpt-3.5-turbo-instruct,1.5,2,0.0035,N/A,N/A,,,,
gpt-3.5-turbo,0.5,1.5,0.002,N/A,N/A,,,,
gpt-4o-mini,0.15,0.6,0.00075,N/A,N/A,,,,
text-embedding-3-large,0.13,N/A,0.00013,N/A,N/A,,,,
text-embedding-3-small,0.02,N/A,2e-05,N/A,N/A,,,,
babbage-002,0.4,0.4,0.0008,N/A,N/A,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
