# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_FIRST_OCCURRENCE 564 1 54 82 17451448556568685 3 /mnt/c/study/setups/liner_to_setup_Ubuntu+Low-Latency_Kernel
DUPTYPE_WITHIN_SAME_TREE -564 4 54 82 10414574138802288 3 /mnt/c/study/Shells/bash/Kernal/Ubuntu+Low-Latency_Kernel/liner_to_setup_Ubuntu+Low-Latency_Kernel
DUPTYPE_WITHIN_SAME_TREE -564 2 54 82 9570149208331552 3 /mnt/c/study/automation/oneliners/liner_to_setup_Ubuntu+Low-Latency_Kernel
DUPTYPE_FIRST_OCCURRENCE 392 1 82 82 12666373952487561 3 /mnt/c/study/setups/liner_for_Ubuntu_Hardware_Enablement_(HWE)_Kernel_Installation
DUPTYPE_WITHIN_SAME_TREE -392 2 82 82 17732923533279363 3 /mnt/c/study/automation/oneliners/liner_for_Ubuntu_Hardware_Enablement_(HWE)_Kernel_Installation
DUPTYPE_WITHIN_SAME_TREE -392 4 82 82 21392098230517892 3 /mnt/c/study/Shells/bash/Kernal/HWE/liner_for_Ubuntu_Hardware_Enablement_(HWE)_Kernel_Installation
DUPTYPE_FIRST_OCCURRENCE 552 1 120 82 11821949022355584 3 /mnt/c/study/setups/liner_to_setup_Real-Time_kernal
DUPTYPE_WITHIN_SAME_TREE -552 2 120 82 18577348463411325 3 /mnt/c/study/automation/oneliners/liner_to_setup_Real-Time_kernal
DUPTYPE_WITHIN_SAME_TREE -552 4 120 82 25051272927756415 3 /mnt/c/study/Shells/bash/Kernal/Real-Time/liner_to_setup_Real-Time_kernal
DUPTYPE_FIRST_OCCURRENCE 490 1 315 82 12666373952487567 3 /mnt/c/study/setups/liner_to_setup_CustomCompiledKernel
DUPTYPE_WITHIN_SAME_TREE -490 4 315 82 13792273859330190 3 /mnt/c/study/Shells/bash/Kernal/CustomCompiledKernel/liner_to_setup_CustomCompiledKernel
DUPTYPE_WITHIN_SAME_TREE -490 2 315 82 29554872555126904 3 /mnt/c/study/automation/oneliners/liner_to_setup_CustomCompiledKernel
DUPTYPE_FIRST_OCCURRENCE 565 1 522 82 9288674231959670 3 /mnt/c/study/setups/liner_to_setup_UbuntuMainlineKernel
DUPTYPE_WITHIN_SAME_TREE -565 4 522 82 12947848929198196 3 /mnt/c/study/Shells/bash/Kernal/UbuntuMainlineKernel/liner_to_setup_UbuntuMainlineKernel
DUPTYPE_WITHIN_SAME_TREE -565 2 522 82 30680772461969523 3 /mnt/c/study/automation/oneliners/liner_to_setup_UbuntuMainlineKernel
# end of file
