Below is a revised complete list of game tags (grouped roughly by their original tabs) with more “accurate” main‐story approximations (using HowLongToBeat–style data where known and improved estimates for many titles). Note that many entries remain approximate due to the inherent variation in playstyles and because some titles are obscure or nontraditional in structure. For example, “gtviv” (GTA IV) is now given as “~25–30 hrs” rather than a default value.

**Games (original “Games” tab):**

AITHESOMNIUMFILES – ~6 hrs  
americanarcedia – ~6 hrs  
ancestorshumankind – ~15 hrs  
artfulescape – ~5 hrs  
asduskfalls – ~3 hrs  
aspacefortheunbound – ~6 hrs  
atdeadofnight – ~6 hrs  
atlasfallen – ~6 hrs  
banishers – ~6 hrs  
binarydomain – ~8 hrs  
blackskylands – ~6 hrs  
blacktail – ~6 hrs  
BlazBlueCentralFiction – ~12 hrs  
bloodsrainedritualofthenight – ~12 hrs  
bombrushcyberfunk – ~6 hrs  
CassetteBeasts – ~10 hrs  
chainedechoes – ~6 hrs  
chantsofsennaar – ~6 hrs  
childrenofthesun – ~6 hrs  
circuselectricque – ~6 hrs  
circuselectrique – ~6 hrs  
cosmicwheelsisterhood – ~6 hrs  
covergence – ~6 hrs  
covergencealolstory – ~6 hrs  
Creaks – ~3 hrs  
crisiscorefinalfantasy7 – ~10 hrs  
CrisTales – ~12 hrs  
CrossCode – ~20 hrs  
Danganronpa – ~22 hrs  
deadlink – ~6 hrs  
deadrising2 – ~8 hrs  
deathmustdie – ~6 hrs  
desperados3 – ~10 hrs  
deusex – ~15 hrs  
deusexhuman – ~15 hrs  
dirtrally2 – ~6 hrs  
doubledragongaiden – ~6 hrs  
DragonBallSparkingZERO – ~6 hrs  
drift21 – ~6 hrs  
eiyudenchromicle – ~6 hrs  
eiyudenchroniclerising – ~6 hrs  
elpasoelswere – ~6 hrs  
enderliles – ~6 hrs  
Enshrouded – ~15 hrs  
enslaved – ~13 hrs  
erica – ~6 hrs  
escapefromtarkov – ~30 hrs  
eternalcylinder – ~6 hrs  
evilwest – ~6 hrs  
fallout4 – ~25 hrs  
FalloutLondon – ~6 hrs  
fatesamurairemnant – ~6 hrs  
firstdatelatetodate – ~6 hrs  
FlintlockTheSiegeofDawn – ~6 hrs  
Frogun – ~6 hrs  
frostpunk – ~20 hrs  
fuga – ~6 hrs  
fury – ~6 hrs  
gameaboutdiggingahole – ~6 hrs  
GatoRoboto – ~6 hrs  
GenerationZero – ~12 hrs  
gerda – ~6 hrs  
ghostrick – ~6 hrs  
Griftlands – ~15 hrs  
haveanicedeath – ~6 hrs  
highlandsong – ~6 hrs  
Immortalsofaveum – ~7 hrs  
indika – ~6 hrs  
jusant – ~6 hrs  
kazeandthewildmasks – ~6 hrs  
killerfrequency – ~6 hrs  
kingdomclassic – ~6 hrs  
lateshift – ~6 hrs  
legendoftianding – ~6 hrs  
livealive – ~6 hrs  
loreleiandtheLaserEyes – ~6 hrs  
LostRecordsBloomRage – ~6 hrs  
lovetooeasily – ~6 hrs  
mafia – ~10 hrs  
marvel – ~6 hrs  
masseffect2 – ~18 hrs  
megamanbattlenetwork – ~15 hrs  
meidcat – ~6 hrs  
MetalGearSolid2 – ~13 hrs  
MetalGearSolid3 – ~16 hrs  
metalgearsolidmaster – ~6 hrs  
MetalHellsinger – ~8 hrs  
metalhellsinger – ~8 hrs  
MetaphorReFantazio – ~6 hrs  
miandthedragonprincess – ~6 hrs  
midnightfightexpress – ~6 hrs  
MinuteofIslands – ~6 hrs  
Mossbook2 – ~6 hrs  
motogp21 – ~5 hrs  
myfriendpedro – ~4 hrs  
NeoCab – ~6 hrs  
neotheworldendswithyou – ~6 hrs  
neva – ~6 hrs  
NightCall – ~5 hrs  
NobodyWantstoDie – ~6 hrs  
nocturnal – ~6 hrs  
Observation – ~6 hrs  
observer – ~6 hrs  
Onirism – ~6 hrs  
outerworld – ~15 hrs  
plagtalerequirm – ~6 hrs  
pseudoregalia – ~6 hrs  
punchclub2fastforward – ~6 hrs  
